,NPI_ID,HCP_ID,TARGET,Age,Number_of_Rx,Rx_last_1_Month,Rx_last_3_Month,Rx_last_6_Month,Rx_last_12_Month,Claims_last_1_Month,Claims_last_3_Month,Procedures_chemo_last_1_month,Procedures_chemo_last_3_month,Procedures_chemo_last_6_month,Procedures_chemo_last_12_month,Procedures_radio_last_1_month,Procedures_Immuno_last_6_month,Procedures_Immuno_last_12_month,Procedures_Biopsy_last_3_month,Procedures_Biopsy_last_6_month,Procedures_Biopsy_last_12_month,Promotional_medscape_last_1_month,Promotional_medscape_last_3_month,Promotional_medscape_last_6_month,F2F_visit,F2F_visit_last_1_month,F2F_visit_last_3_month,VRC_visit_last_3_month,VRC_visit_last_6_month,VRC_visit_last_12_month,HCO_Affiliation_Type_Contract,HCO_Affiliation_Type_Referral
18,6739775,HCP_19,0,49,924,1344,2452,4636,7533,129,226,66,80,95,162,65,143,276,59,90,110,9,10,11,2,4,5,3,4,8,True,False
19,6696762,HCP_20,0,60,659,714,1162,1175,1837,246,362,25,48,76,129,36,69,95,91,108,199,9,17,21,2,4,8,4,8,14,True,False
20,4976944,HCP_21,0,69,1100,1561,2321,2452,4560,91,143,51,66,92,139,36,76,91,56,102,204,7,11,18,2,4,7,3,4,7,False,True
21,5764497,HCP_22,0,50,1100,1451,1638,2815,4920,114,124,36,59,105,175,60,187,247,105,176,185,10,13,14,2,4,5,3,6,11,False,False
22,2394003,HCP_23,0,66,1029,1699,3037,4615,6586,229,296,25,28,46,77,36,179,321,128,193,216,10,15,22,1,2,4,5,7,10,False,False
23,8731514,HCP_24,0,66,100,119,183,335,610,118,228,30,42,69,79,78,241,416,39,78,115,13,19,35,1,2,4,6,10,11,False,True
24,6644175,HCP_25,0,30,344,441,716,1058,1535,253,452,26,43,61,71,47,171,281,83,150,172,17,28,50,1,2,3,3,6,7,False,True
25,1307546,HCP_26,0,86,100,188,325,501,770,197,304,35,59,106,130,73,188,238,111,218,240,9,16,31,2,3,4,6,10,13,False,False
26,4155226,HCP_27,0,63,1100,1928,3474,4922,9624,331,656,40,70,121,218,71,76,87,138,182,192,11,17,20,1,2,3,4,5,7,False,False
27,1232007,HCP_28,1,33,596,662,1210,1938,3772,209,216,24,26,52,99,71,129,214,82,149,215,8,9,17,2,4,7,6,12,21,True,False
28,6125037,HCP_29,0,42,409,470,553,853,1465,348,443,52,54,65,102,54,70,119,63,96,142,14,17,34,1,2,4,4,7,11,True,False
29,8953155,HCP_30,0,54,344,534,663,830,906,34,40,32,37,41,77,63,126,163,91,95,111,17,25,27,2,3,4,4,8,9,False,False
30,5774249,HCP_31,0,49,1100,1408,2321,3516,5247,67,109,54,55,64,119,57,265,505,138,188,328,14,16,23,2,4,8,7,10,15,False,False
31,9222123,HCP_32,0,44,437,822,927,1037,1537,342,365,75,144,158,165,69,178,187,51,66,85,19,31,43,1,2,3,4,6,11,True,False
32,8418473,HCP_33,0,28,1100,2054,2615,5132,9748,27,47,47,80,83,110,72,107,118,70,105,208,14,26,41,1,2,4,4,6,8,True,False
33,6511069,HCP_34,0,50,1100,2125,3320,6371,7696,292,443,55,77,149,155,46,161,252,94,184,253,16,23,41,2,4,7,4,8,10,False,False
34,2642428,HCP_35,0,71,1100,1544,2118,3672,6981,43,77,23,37,68,102,73,196,380,74,106,128,14,27,30,2,3,5,3,6,7,False,False
35,9164997,HCP_36,0,59,445,794,997,1254,1440,126,199,50,91,109,197,58,78,139,55,66,118,9,14,25,1,2,3,6,11,18,False,True
36,9970218,HCP_37,0,86,802,1515,2647,3683,5465,244,478,46,85,95,185,44,115,159,76,86,93,13,14,24,1,2,3,4,8,13,False,False
37,8902182,HCP_38,0,88,617,1030,1084,1970,3654,39,40,34,42,55,62,41,67,81,90,161,237,18,22,36,1,2,4,4,5,7,True,False
38,5842671,HCP_39,1,63,460,856,1644,1930,3191,345,631,39,42,73,89,56,251,346,102,161,247,12,17,19,1,2,3,6,8,11,True,False
39,3327397,HCP_40,0,32,100,177,237,443,616,129,180,67,127,180,290,52,86,99,55,80,152,13,16,31,1,2,3,7,12,18,False,False
40,4206788,HCP_41,0,37,100,153,251,275,510,168,307,71,84,99,151,57,95,186,148,279,476,11,20,26,1,2,4,5,9,10,True,False
41,4592242,HCP_42,1,54,294,381,393,445,871,231,359,48,52,102,204,58,142,157,96,170,252,12,23,26,1,2,3,3,5,7,True,False
42,6572907,HCP_43,0,73,1011,1036,1190,1733,3418,156,164,41,54,104,199,56,140,233,117,219,308,11,19,30,2,4,6,4,8,14,False,False
43,2675793,HCP_44,0,86,351,407,601,784,1113,127,159,72,84,140,193,54,162,241,100,106,188,10,11,13,1,2,4,6,10,15,True,False
44,4936853,HCP_45,0,68,833,1569,2861,3119,3437,196,314,43,47,87,168,69,70,139,67,82,135,15,27,34,1,2,3,4,8,15,False,False
45,7358244,HCP_46,1,31,1100,1458,2463,3684,5433,170,278,72,131,180,182,59,212,276,59,85,157,10,18,26,2,3,5,4,5,9,False,False
46,4476600,HCP_47,0,56,1072,1831,3323,5759,8513,172,221,41,58,86,117,74,57,96,106,163,281,11,14,27,2,3,6,7,14,27,True,False
47,8233556,HCP_48,0,89,1096,1369,2551,4683,7968,146,196,58,99,134,192,54,53,61,76,131,155,11,12,24,1,2,3,6,11,17,False,False
48,6487427,HCP_49,0,55,936,1103,1915,3004,5860,166,195,61,108,155,245,41,44,87,149,260,477,11,19,33,1,2,3,4,7,8,False,False
49,5900726,HCP_50,0,69,1100,1717,2219,3748,5298,342,407,73,139,275,333,63,108,175,71,125,227,14,16,29,2,3,4,4,5,6,False,False
50,6779839,HCP_51,0,47,623,913,1045,1553,2605,260,402,35,36,47,70,54,152,222,89,102,115,8,9,18,2,3,6,3,6,12,True,False
51,3349845,HCP_52,0,36,1090,1389,2008,3505,5650,141,273,60,86,118,186,66,165,330,57,86,140,15,30,32,2,4,6,4,8,11,False,False
52,1499656,HCP_53,0,92,100,123,150,173,202,42,81,49,97,161,202,42,79,81,117,195,361,9,18,31,2,4,7,7,9,10,False,True
53,8459725,HCP_54,0,41,1100,1251,1632,2453,3637,39,54,69,109,194,388,64,88,128,98,167,259,11,18,29,2,3,5,6,7,8,False,True
54,4453281,HCP_55,0,80,229,317,588,677,800,231,241,47,53,90,99,75,77,151,60,93,179,9,10,18,1,2,4,5,6,11,True,False
55,8160567,HCP_56,1,55,1100,1555,2570,3465,5688,86,148,58,79,118,127,63,206,226,112,209,319,11,19,32,2,3,5,3,6,8,False,False
56,8963155,HCP_57,1,29,239,459,467,619,1128,111,160,61,96,192,225,38,63,111,85,87,107,11,14,20,1,2,3,4,7,12,False,False
57,8181212,HCP_58,0,73,1100,1419,1505,2907,4158,200,257,36,72,102,118,48,121,207,72,103,170,13,18,29,1,2,4,5,10,20,True,False
58,9574418,HCP_59,0,87,1100,2185,3320,5398,5930,9,18,51,101,127,248,55,70,108,62,81,106,8,12,20,2,4,8,6,9,18,False,False
59,6784351,HCP_60,0,89,1009,1085,2076,3925,7046,155,282,59,113,169,188,47,192,312,55,62,95,13,23,30,2,3,4,3,5,7,False,True
60,6660844,HCP_61,0,59,1100,1406,2363,3905,4888,308,418,25,26,43,53,65,127,166,77,127,183,10,15,23,2,4,7,8,13,21,False,True
61,6801445,HCP_62,1,41,490,932,1118,1700,2689,308,407,59,61,120,201,63,103,128,131,185,366,13,18,33,1,2,3,4,5,10,False,True
62,7004521,HCP_63,0,60,977,1903,3051,5003,7903,98,193,68,130,224,290,42,90,159,104,191,267,16,30,34,1,2,3,5,9,13,False,True
63,7737399,HCP_64,1,56,1100,1419,1604,2747,3003,23,39,70,120,230,431,60,144,261,118,173,202,13,14,27,2,4,8,3,5,6,True,False
64,8210324,HCP_65,0,48,1100,1618,2285,4014,5587,152,186,59,117,130,132,51,86,126,84,123,128,20,34,55,1,2,3,6,8,15,False,False
65,8000796,HCP_66,0,32,919,1768,2317,2810,3380,55,101,68,78,151,239,53,166,226,58,99,177,8,16,27,1,2,4,4,6,11,False,False
66,9646371,HCP_67,0,68,291,512,929,1096,1698,33,37,44,58,66,105,80,85,147,97,144,271,15,24,48,2,3,4,3,5,6,False,False
67,5980645,HCP_68,0,64,1053,1323,2121,2325,2781,278,286,44,78,95,118,40,105,125,107,155,220,12,20,32,1,2,3,6,9,18,False,True
68,7328231,HCP_69,1,77,384,576,917,1012,1578,99,110,61,95,158,279,66,98,101,54,108,110,6,10,17,2,4,8,6,11,15,False,False
69,9330806,HCP_70,0,64,1100,1331,1836,2101,2331,28,55,37,52,61,94,44,171,202,48,52,56,13,16,29,1,2,3,4,8,12,False,False
70,4630379,HCP_71,0,67,961,1091,1562,3083,3562,53,56,57,101,159,226,55,272,432,135,225,389,20,40,56,1,2,3,7,13,20,False,True
71,9189951,HCP_72,0,50,1100,2063,2415,3530,5120,84,119,54,61,67,76,48,54,106,74,98,99,9,16,30,1,2,4,5,8,15,False,False
72,9124559,HCP_73,0,88,1100,2046,3307,5401,9048,145,266,60,70,121,182,38,163,241,45,58,73,14,28,40,2,4,7,8,10,15,False,True
73,6551091,HCP_74,1,88,695,933,1833,1843,2166,310,377,72,76,136,159,58,142,174,68,120,123,10,16,23,2,3,5,5,9,17,False,True
74,4877839,HCP_75,0,56,510,817,1035,1315,2508,207,384,67,98,194,323,69,251,273,45,50,79,15,26,32,2,3,5,4,5,9,True,False
75,1214070,HCP_76,1,28,141,190,350,681,773,211,356,28,34,64,116,50,134,235,146,158,192,15,27,54,1,2,4,4,6,10,True,False
76,9510797,HCP_77,0,73,913,1228,1836,2711,3726,94,183,47,86,146,148,36,166,212,75,85,121,8,12,14,1,2,4,4,8,15,False,False
77,7717046,HCP_78,1,69,1047,2017,3703,4081,4897,132,208,28,29,47,69,36,69,113,88,124,205,12,23,31,1,2,4,5,6,11,False,False
78,3518869,HCP_79,1,41,782,1441,1581,3059,5183,38,41,59,65,109,137,79,67,113,57,71,109,18,31,39,2,4,5,8,9,10,True,False
79,7733086,HCP_80,0,39,1100,1533,1997,3887,5405,258,506,71,105,208,357,80,124,134,56,112,118,9,12,23,1,2,3,3,6,11,False,False
80,1337029,HCP_81,0,43,216,266,476,494,771,316,510,34,62,112,144,65,88,103,74,120,123,9,15,21,1,2,4,6,11,22,False,True
81,9478961,HCP_82,0,76,429,756,1506,2183,3781,322,561,51,88,126,244,48,121,186,42,60,61,15,20,29,1,2,3,3,4,7,False,True
82,6864446,HCP_83,1,69,913,1800,3236,6041,6535,127,206,39,58,112,171,60,98,150,79,130,173,14,20,36,2,3,5,6,8,14,False,True
83,6139454,HCP_84,1,69,1100,2052,3712,6893,13497,192,316,74,88,133,264,47,64,107,160,277,373,8,14,15,2,3,6,6,9,11,False,False
84,6797844,HCP_85,0,86,1028,1432,1664,2443,3147,175,292,46,63,94,148,63,88,145,68,88,93,11,19,32,1,2,4,3,6,11,False,False
85,2844326,HCP_86,0,57,1100,1183,2008,3265,5633,129,253,73,138,250,336,48,77,116,90,151,222,14,19,23,2,4,7,4,6,7,False,False
86,8702613,HCP_87,0,42,849,1198,2394,2510,3045,168,328,71,113,187,232,40,96,137,88,99,110,13,18,22,2,3,5,8,11,20,False,False
87,4786704,HCP_88,0,59,380,740,962,981,1041,272,544,70,131,239,334,49,101,118,122,177,349,17,22,35,2,4,5,4,5,9,False,True
88,5906562,HCP_89,0,78,1036,1411,2057,3061,3192,92,135,61,121,183,357,42,258,422,90,122,200,14,22,38,1,2,3,4,7,13,False,False
89,5056743,HCP_90,0,72,1100,1359,1646,2704,3443,57,76,50,84,131,169,42,120,209,60,118,220,9,13,16,2,4,8,7,8,10,False,False
90,4493006,HCP_91,1,78,363,489,768,1212,1874,142,147,71,121,205,325,68,150,233,154,291,352,9,13,14,2,4,6,5,8,15,False,False
91,7915732,HCP_92,0,88,767,1052,1726,2222,3627,324,629,50,86,151,179,64,94,179,104,168,298,9,18,21,2,3,6,3,5,7,False,False
92,4200688,HCP_93,0,46,899,960,1453,1753,1881,295,578,69,107,189,236,81,155,215,110,183,318,7,9,10,1,2,3,4,8,9,False,False
93,2908709,HCP_94,0,44,1052,1112,1954,2874,5107,332,606,25,39,77,88,43,219,397,78,136,210,11,18,21,1,2,4,4,5,6,False,True
94,3713288,HCP_95,1,49,1100,2110,2422,4622,9003,80,123,57,72,91,174,54,73,75,106,163,190,13,18,19,1,2,3,5,6,7,False,False
95,5963922,HCP_96,0,78,1100,1728,2946,3234,4996,50,55,71,129,257,368,78,138,242,116,202,328,17,21,42,1,2,3,5,10,17,False,False
96,5816420,HCP_97,1,54,1006,1795,2243,2813,3164,302,490,56,93,142,166,68,124,231,39,71,122,17,29,35,2,4,5,5,10,14,False,False
97,4594284,HCP_98,0,31,787,1455,2228,3739,6307,169,227,60,77,145,276,53,126,250,152,297,509,12,24,41,2,3,5,6,8,10,False,True
98,9407383,HCP_99,0,38,1100,2150,4002,4141,7049,323,485,59,103,175,188,81,207,413,57,107,195,16,32,60,2,3,6,5,7,8,False,False
99,6079033,HCP_100,1,59,1064,1949,2646,3549,6174,187,339,66,73,130,219,59,79,86,117,222,419,15,20,35,1,2,3,4,8,11,True,False
100,5874095,HCP_101,0,70,525,920,1079,1285,1360,111,199,41,46,92,145,42,95,154,63,79,116,7,13,18,2,4,6,4,7,11,True,False
101,8913188,HCP_102,0,85,1100,1149,2248,4000,6056,206,298,38,48,71,94,49,88,116,113,188,338,10,18,28,1,2,3,3,4,8,True,False
102,8097243,HCP_103,1,62,1100,1286,2309,2659,3660,344,626,41,52,60,82,40,92,114,55,76,92,9,10,13,1,2,4,5,6,12,True,False
103,9720646,HCP_104,0,71,222,247,440,842,1346,269,293,35,70,73,105,74,63,76,95,119,193,8,16,25,2,4,7,6,10,19,False,True
104,9199441,HCP_105,1,71,641,684,1209,2381,2436,177,220,40,55,72,127,41,100,180,86,107,211,8,12,23,2,3,5,4,5,10,False,True
105,4770067,HCP_106,0,33,1100,1371,2364,4548,6896,262,286,36,56,73,140,80,172,205,126,224,282,13,24,38,2,3,6,5,7,9,False,False
106,2527204,HCP_107,0,31,1082,1809,3166,6158,6815,212,303,44,76,108,215,52,158,255,54,89,173,9,18,33,2,3,4,4,8,9,False,False
107,2754559,HCP_108,1,91,1100,1832,3070,4902,6012,15,19,35,45,80,115,67,203,381,58,82,144,10,19,35,2,3,5,5,8,9,True,False
108,9165447,HCP_109,0,32,762,1210,2053,3133,5344,76,99,37,73,139,199,66,151,165,136,140,196,12,23,31,1,2,4,3,5,8,False,True
109,6081961,HCP_110,1,70,340,641,1202,2200,4027,31,49,72,133,156,191,61,208,288,78,113,167,8,10,11,1,2,3,4,5,9,False,True
110,2545681,HCP_111,0,29,421,681,1041,1910,2024,58,111,43,55,92,173,65,100,103,49,87,94,12,18,30,1,2,4,3,6,9,False,True
111,1167297,HCP_112,1,47,948,1314,1344,1866,3722,13,22,72,97,173,226,53,79,154,63,86,145,7,13,18,2,3,6,5,9,17,False,False
112,3882398,HCP_113,0,47,274,400,524,1039,1413,95,137,32,36,65,116,75,126,250,44,84,128,12,16,17,2,3,4,7,14,18,False,True
113,4313009,HCP_114,0,39,1053,1775,3151,4381,6696,284,397,34,66,70,125,37,138,151,54,63,104,16,17,26,1,2,4,3,4,5,False,True
114,8221716,HCP_115,0,54,1100,1939,2605,3741,3851,289,393,33,34,55,82,73,167,206,150,158,278,6,12,20,1,2,4,4,6,11,False,False
115,8159501,HCP_116,0,59,1100,2082,3317,5516,9072,238,459,39,58,77,116,67,137,193,106,200,286,17,21,26,1,2,3,6,11,21,True,False
116,3642587,HCP_117,0,88,815,868,1035,1253,1867,100,113,44,47,53,101,52,217,247,98,116,156,17,26,43,2,4,6,6,9,12,False,False
117,5937041,HCP_118,0,62,1100,1668,2187,4205,6600,181,254,48,78,150,158,59,311,395,113,219,393,10,17,24,2,4,8,3,6,9,True,False
118,3981014,HCP_119,1,76,1100,1787,2473,3760,4104,257,307,45,73,135,214,56,76,136,61,115,157,9,13,17,2,3,6,4,8,14,False,True
119,2147727,HCP_120,0,36,1072,1098,1881,3015,5833,38,55,72,122,154,177,42,95,150,68,69,119,9,18,26,1,2,3,7,14,17,False,False
120,3435608,HCP_121,0,39,351,547,720,1324,2041,38,69,69,130,164,211,52,98,108,52,87,133,14,21,22,2,4,5,3,5,6,False,True
121,4846013,HCP_122,0,66,323,483,773,851,1352,303,381,64,73,142,151,51,172,190,74,114,127,8,9,16,1,2,3,4,5,8,False,False
122,9841209,HCP_123,0,73,930,952,1265,1824,2083,99,128,57,107,136,145,41,213,360,41,46,63,12,22,24,1,2,4,7,9,17,False,False
123,6213650,HCP_124,0,81,968,1489,2656,4664,6372,101,172,71,90,95,162,64,141,225,50,73,145,7,14,16,2,4,8,5,6,12,False,True
124,7640455,HCP_125,0,66,122,241,427,830,1290,251,330,66,89,108,141,34,251,254,83,105,201,9,18,32,1,2,3,4,7,9,True,False
125,3577231,HCP_126,1,79,1100,1273,2238,3880,6725,288,467,35,59,73,84,65,80,132,67,77,142,12,14,22,1,2,4,3,6,11,False,False
126,3911830,HCP_127,1,68,514,924,1423,2053,2881,69,126,45,88,116,118,34,106,112,79,148,281,8,10,12,2,3,5,4,8,12,False,False
127,8743255,HCP_128,0,45,319,399,605,951,1104,219,254,48,60,92,144,50,119,177,59,117,166,8,16,31,1,2,4,3,4,8,False,False
128,4265465,HCP_129,0,78,331,642,1030,1093,1460,200,257,46,72,103,161,48,90,100,104,192,379,18,25,49,2,4,8,5,7,9,False,False
129,5819778,HCP_130,0,42,798,1581,3146,4456,5787,75,141,29,47,65,74,63,256,424,52,98,146,10,14,16,1,2,3,6,12,23,False,True
130,6338912,HCP_131,1,58,1100,2037,3561,5127,5785,189,280,46,78,101,178,61,112,200,80,97,133,14,22,28,1,2,4,5,6,12,False,False
131,4592655,HCP_132,1,83,1100,1394,1756,3442,6307,120,137,70,110,212,365,79,92,94,112,160,212,11,20,21,2,4,5,4,6,9,True,False
132,7303949,HCP_133,1,57,1100,1392,2746,5302,8239,69,104,47,73,105,130,52,245,289,72,110,192,8,14,22,2,3,4,6,7,13,False,True
133,3835910,HCP_134,1,44,752,754,1307,2569,2750,229,452,70,133,194,381,50,95,165,103,153,210,18,19,22,2,3,4,3,6,7,True,False
134,9463971,HCP_135,0,87,1027,1169,2122,3014,3560,231,431,35,50,83,104,34,208,291,46,68,96,7,8,15,2,3,6,6,10,15,True,False
135,3711105,HCP_136,0,82,1100,1123,1380,2111,3961,171,229,28,55,92,117,67,155,202,78,87,131,19,23,25,1,2,4,4,8,11,False,True
136,3316402,HCP_137,0,63,1064,1091,1776,2901,3354,143,208,30,39,56,69,77,112,130,38,54,91,15,26,46,1,2,3,7,8,9,True,False
137,9742090,HCP_138,1,41,548,1042,1541,1614,1904,337,484,57,74,86,140,76,117,191,106,152,174,7,8,9,1,2,4,6,7,12,True,False
138,8069987,HCP_139,0,55,972,1458,1921,2004,3597,208,253,33,34,37,59,51,209,303,157,237,361,11,12,13,2,3,6,6,10,16,False,False
139,2788103,HCP_140,1,30,1100,1298,1332,1738,2865,175,206,32,43,62,92,52,131,222,62,121,219,13,23,38,2,3,6,3,4,5,False,True
140,4505800,HCP_141,1,87,100,161,282,441,748,82,92,35,62,92,172,41,140,261,38,44,56,8,15,27,1,2,3,7,12,22,True,False
141,1741960,HCP_142,0,60,1100,1873,3249,5359,5823,96,153,33,44,64,101,49,128,180,111,193,207,7,11,19,1,2,4,4,7,8,False,False
142,3425948,HCP_143,0,45,904,1702,2117,2336,3499,66,71,47,78,149,151,58,230,288,75,85,137,6,11,17,1,2,4,4,8,16,False,False
143,9970168,HCP_144,0,47,928,1166,1428,2412,3213,169,181,30,48,63,70,51,172,250,146,153,249,8,15,27,2,4,6,7,14,20,False,False
144,5141379,HCP_145,1,29,204,384,555,755,975,103,131,43,60,108,160,45,72,116,56,65,127,10,17,26,1,2,4,4,5,10,False,False
145,6930670,HCP_146,1,70,466,894,995,1553,1927,296,442,64,77,97,167,77,148,221,132,238,410,10,18,31,1,2,4,3,5,6,True,False
146,5852357,HCP_147,0,66,1100,1431,2363,3129,4897,72,134,70,118,166,186,68,154,226,95,150,240,12,20,34,2,4,8,3,6,9,False,False
147,5970744,HCP_148,0,91,1100,1962,3132,3507,5058,149,259,25,32,42,73,78,61,118,80,83,123,15,19,36,1,2,3,3,5,8,False,False
148,9519661,HCP_149,1,44,1050,1708,2364,2503,3996,116,156,62,115,188,251,77,73,121,56,65,69,10,20,32,1,2,4,8,12,14,False,False
149,1001849,HCP_150,0,83,1100,1412,1964,2162,2613,248,492,24,33,45,79,45,196,238,46,90,108,14,20,36,2,4,8,4,7,11,False,True
150,6967149,HCP_151,0,38,1100,1928,3746,4657,6274,181,330,38,49,63,79,41,138,245,113,209,230,9,15,17,1,2,3,5,7,14,False,False
151,8140354,HCP_152,1,80,198,252,392,490,849,142,143,27,40,65,125,34,148,292,69,81,86,11,14,15,1,2,3,6,7,8,False,False
152,5579420,HCP_153,1,29,601,1152,2098,2527,3290,154,211,73,122,145,248,36,87,149,48,96,136,12,17,24,1,2,3,5,8,16,False,False
153,3790588,HCP_154,1,92,1009,1368,1691,2856,4695,55,62,54,101,154,157,72,115,133,94,131,259,12,16,20,2,4,6,3,5,7,False,False
154,6825150,HCP_155,1,31,1044,1517,2679,3015,3526,303,546,23,28,48,78,47,101,113,56,96,185,16,27,44,1,2,4,4,8,15,True,False
155,4751357,HCP_156,1,62,383,411,576,1008,1857,90,138,62,111,178,238,46,80,125,87,123,193,12,16,25,2,3,4,4,5,7,False,False
156,8855838,HCP_157,1,73,1056,1133,1480,1801,1997,185,191,29,50,99,177,44,137,160,76,82,128,7,8,12,2,4,7,4,5,6,True,False
157,6698925,HCP_158,0,58,1091,1684,1883,3589,5261,242,402,49,90,115,224,80,102,200,81,91,176,9,18,23,2,4,5,5,6,7,False,False
158,1751933,HCP_159,0,28,1100,1408,2405,3406,5459,260,283,49,74,76,87,53,172,344,112,210,412,12,17,19,1,2,4,4,5,6,False,False
159,7586204,HCP_160,0,51,1100,2100,4146,5852,10544,41,64,33,38,62,88,72,169,234,68,90,143,12,20,31,1,2,4,3,6,11,False,False
160,4889344,HCP_161,0,41,968,1151,2117,4097,7447,341,560,34,61,117,214,77,85,147,73,78,142,8,12,22,1,2,4,4,6,10,True,False
161,8522543,HCP_162,0,60,1010,1204,2192,3638,6391,93,185,28,50,68,103,74,118,181,79,112,199,12,21,31,2,3,5,4,7,9,True,False
162,7752117,HCP_163,1,43,1100,2176,3470,3504,5297,336,513,48,87,174,183,70,180,309,114,148,276,8,13,15,1,2,3,7,14,19,True,False
163,8611536,HCP_164,0,88,1100,1972,2840,5240,6263,175,339,38,46,47,80,44,232,239,84,157,162,15,21,42,2,3,6,4,5,6,False,False
164,8592240,HCP_165,0,57,1100,1510,1957,3377,5954,327,578,59,101,131,155,73,101,140,51,67,121,11,13,17,1,2,4,3,6,11,False,False
165,9752348,HCP_166,0,64,217,326,605,1077,1349,188,299,61,91,148,259,77,134,166,109,137,158,18,21,23,2,4,8,4,6,12,False,False
166,5121458,HCP_167,0,57,1100,2193,3918,5661,6596,134,265,35,70,128,226,58,135,144,106,109,159,16,22,29,2,4,5,4,7,14,False,False
167,1543757,HCP_168,1,57,599,765,905,996,1746,291,575,69,126,179,197,39,140,172,50,100,126,9,15,19,1,2,3,6,12,21,False,False
168,7108294,HCP_169,0,59,927,1741,3119,5022,8042,310,470,33,53,99,128,51,146,280,84,148,242,10,12,19,1,2,3,6,8,13,False,False
169,7924539,HCP_170,0,39,1100,1120,1409,1948,1993,218,261,69,121,180,275,64,197,278,95,155,263,9,17,18,2,4,5,4,7,8,False,False
170,1269394,HCP_171,0,48,550,804,1178,1442,1806,125,197,33,50,92,151,76,69,91,95,109,182,10,14,20,1,2,3,4,6,8,True,False
171,3650201,HCP_172,0,53,949,956,1035,1918,3262,164,210,33,64,105,132,59,144,260,43,60,114,9,18,34,2,3,4,3,4,6,False,False
172,1767909,HCP_173,0,67,548,904,1018,1630,1977,248,401,24,45,69,117,43,225,246,128,203,371,8,16,24,2,3,4,6,10,16,False,True
173,3810068,HCP_174,0,40,1100,1635,2032,2679,4774,47,49,55,82,149,194,71,105,200,110,192,288,7,8,9,2,3,6,4,6,11,False,True
